De Rossi ::: Anita	F	ITALIAN
Sakitani ::: Kosuke	M	JAPANESE
Fan ::: Zilong	-	CHINESE
Smith ::: Terry J.	-	ENGLISH
Zhou ::: Shuang	-	CHINESE
Yang ::: Yaoqin	-	CHINESE
Sherman ::: Philip M.	M	ENGLISH
Pelling ::: Andrew E.	M	ENGLISH
Xu ::: Fangsen	-	CHINESE
Golan ::: Moria	F	ISRAELI
Săftoiu ::: Adrian	M	ROMANIAN
Dong ::: Xiaobin	M	CHINESE
Dai ::: Guangshuo	-	CHINESE
Corbellini ::: Luis Gustavo	M	HISPANIC
Chan ::: Alexandre	M	ENGLISH-CHINESE
Lappi ::: Otto	M	NORDIC
Engelberg-Kulka ::: Hanna	F	ISRAELI
van Oudenhove ::: Louise	F	DUTCH-FRENCH
Chen ::: Brian K.	M	ENGLISH
Brozovich ::: Frank V.	M	SLAV-GERMAN
Liang ::: Guizhao	-	CHINESE
Desviat ::: Lourdes Ruiz	F	HISPANIC
Rosic ::: Gvozden	-	SLAV
Wylie ::: Kristine M.	F	ENGLISH
Grimmer ::: Karen	F	ENGLISH
Uversky ::: Vladimir N.	M	SLAV
Turoverov ::: Konstantin K.	M	SLAV
Herklots ::: Tanneke	F	DUTCH
Zhang ::: Dong	-	CHINESE
Kizaka-Kondoh ::: Shinae	F	JAPANESE
Gavrilets ::: Sergey	M	SLAV
Weiss ::: Robin A.	F	ENGLISH
Lanzavecchia ::: Antonio	M	ITALIAN
Zhou ::: Guomei	F	CHINESE
Yue ::: Zhenzhu	-	CHINESE
Foster ::: Allen	M	ENGLISH
Ye ::: Sheng	-	CHINESE
AuCoin ::: David P.	M	ENGLISH
Nantes ::: Iseli L.	-	HISPANIC
Helwig ::: Nathaniel E.	M	GERMAN-ENGLISH
Guy ::: Stephen J.	M	ENGLISH
Lyford-Pike ::: Sofía	-	ENGLISH-ARAB
Geue ::: Claudia	F	GERMAN
Deuba ::: Keshab	M	GERMAN-INDIAN
Imanaka ::: Yuichi	M	JAPANESE
Beauchet ::: Olivier	M	FRENCH
Zhang ::: Lei	-	CHINESE
Ogino ::: Shuji	M	JAPANESE
Putcha ::: Nirupama	F	INDIAN
Kaushik ::: Nutan	F	INDIAN
Bogusz ::: Agata M.	F	SLAV
Nerandzic ::: Michelle M.	F	SLAV-DUTCH
Kreuzpointner ::: Ludwig	M	GERMAN
Xu ::: Feng	-	CHINESE
Yu ::: Long	-	CHINESE
Yotsumoto ::: Yuko	F	JAPANESE
Hammond ::: John P.	M	ENGLISH
Salas ::: Antonio	M	HISPANIC
Du ::: Yiqi	-	CHINESE
Li ::: Zhaoshen	-	CHINESE
Kuper ::: Hannah	F	GERMAN-DUTCH
Lorent ::: Natalie	F	FRENCH
Crane ::: Benjamin T.	M	ENGLISH
Vanselow ::: Jens	M	GERMAN
Kuhla ::: Björn	-	GERMAN-NORDIC
Laurson ::: Joanna	F	ENGLISH
Fujita ::: Takashi	M	JAPANESE
Icenogle ::: Joseph	M	ENGLISH
Creanga ::: Andreea A.	F	ROMANIAN
Kim ::: Hyun-Pyo	-	KOREAN
Varani ::: Stefania	F	ITALIAN
Martins ::: André C. R.	F	HISPANIC-ROMANIAN
Zhang ::: Yanhang	-	CHINESE
Blenkiron ::: Cherie	F	ENGLISH
Tax ::: Chantal M. W.	F	DUTCH
Sun ::: Ying	-	CHINESE
Li ::: Jiyu	F	CHINESE
Blackburn ::: H. D.	-	ENGLISH
Narayanaswami ::: Vasanthy	-	ENGLISH
Frees ::: Amy E.	F	ENGLISH
Levitzki ::: Alexander	M	GERMAN-ISRAELI
Jensen ::: Ralph	M	NORDIC
Kanyangarara ::: Mufaro	-	AFRICAN
van Oort ::: Floor V. A.	-	DUTCH
Kazuki ::: Yasuhiro	M	JAPANESE
Plaete ::: Jolien	F	FRENCH-DUTCH
Antoniewski ::: Christophe	M	FRENCH
Le Cunff ::: Loic	M	FRENCH
Poggi ::: Alessandro	M	ITALIAN
Cárdenas ::: Paco	M	HISPANIC
Dutta ::: Sheetij	-	INDIAN
Barnwell ::: John W.	M	ENGLISH
Sleeman ::: Mark W.	M	ENGLISH
Kim ::: Wonjoon	-	KOREAN
Sorg ::: Barbara A.	F	GERMAN-ITALIAN
Diaz Heijtz ::: Rochellys	-	HISPANIC
Chen ::: Yulin	-	CHINESE
Roelofs ::: Jolanda M. B.	F	DUTCH
McGlade ::: C. Jane	F	ENGLISH
Chen ::: Clark C.	M	CHINESE
Imai ::: Kazuhiro	M	JAPANESE
Westercamp ::: Nelli	F	GERMAN
Favaro ::: Livio	M	ITALIAN
Wood ::: Carly	F	ENGLISH
Paine ::: C. E. Timothy	M	ENGLISH
Abernethy ::: Amy P.	F	ENGLISH
Li ::: Honghua	M	CHINESE
Muslim ::: Mohd Taufiq	M	ARAB-INDIAN
Taylor-Robinson ::: David	M	ENGLISH
Chandar ::: Nalini	F	INDIAN
Edwards ::: Todd L.	M	ENGLISH
Velez Edwards ::: Digna R.	F	HISPANIC
Nwankwo ::: Obioma	-	AFRICAN
Claudio ::: Pier Paolo	M	ITALIAN
Leimu ::: Roosa	F	NORDIC
Wu ::: Mai-Szu	F	CHINESE
Bigham ::: Abigail W.	F	ENGLISH
Bamshad ::: Michael	M	ENGLISH-NORDIC
Alving ::: Carl R.	M	NORDIC
Shi ::: Chunwei	M	CHINESE
Giuliano ::: Marina	F	ITALIAN
Touchton ::: Janeene M.	F	ENGLISH
Rosi ::: Susanna	F	ITALIAN
Ho ::: Wen-Chao	-	CHINESE
He ::: Li	-	CHINESE
Zhang ::: Ya-Ping	-	CHINESE
Ha ::: Ngoc-Thuy	F	KOREAN
Németh ::: László	-	HUNGARIAN
Kim ::: Chang Hun	M	KOREAN
Beck ::: Brianna	F	ENGLISH
Kong ::: Li	-	CHINESE
Yu ::: Jinming	M	CHINESE
Mulac ::: Dennis	M	FRENCH-ENGLISH
Sletmoen ::: Marit	F	NORDIC
Singh ::: Laishram Rajendrakumar	M	INDIAN
Kim ::: Sanguk	M	KOREAN
Tessari ::: Alessia	F	ITALIAN
van Rijn ::: Hedderik	-	DUTCH
Shao ::: Chengcheng	M	CHINESE
Pawlowski ::: Jan	M	SLAV
Wolff ::: Ewan D. S.	M	ENGLISH
Salisbury ::: Steven W.	M	ENGLISH
Hollis ::: James H.	M	ENGLISH
Gaete ::: Jorge	M	HISPANIC
Xiong ::: Momiao	-	CHINESE
Kalinichenko ::: Vladimir V.	M	SLAV
Kalin ::: Tanya V.	F	GERMAN
Agrawal ::: Varkha	-	INDIAN
Song ::: Weihong	F	CHINESE
Nakazato ::: Takeru	M	JAPANESE
Li ::: Menglong	-	CHINESE
Zhou ::: Xinan	M	CHINESE
Yuan ::: Longping	-	CHINESE
Sinicrope ::: Frank A.	M	ITALIAN-GERMAN
Harrer ::: Andrea	F	GERMAN
Puri ::: Neelu	F	INDIAN
Perrino ::: Brian A.	M	ENGLISH
Cheng ::: Qiang	M	CHINESE
Morand ::: Eric F.	M	FRENCH
Auferkorte ::: Olivia Nicola	F	GERMAN
Silva ::: Antonio S.	M	HISPANIC
Hallberg ::: Bengt	M	NORDIC
Palmer ::: Ruth H.	F	ENGLISH
Graves ::: Lee M.	M	ENGLISH
Lavender ::: Thomas Michael	M	ENGLISH-GERMAN
Verhagen ::: Maaike	F	DUTCH
Romero ::: Luis	M	HISPANIC
Yao ::: Honghong	-	CHINESE
Buch ::: Shilpa	F	INDIAN
Kim ::: Un-Kyung	-	KOREAN
Huang ::: Jiping	M	CHINESE
Anvari ::: Bahman	M	ARAB
Kallio ::: Aleksi	-	NORDIC
Lyall ::: Vijay	M	ENGLISH-INDIAN
Zhao ::: Hui	-	CHINESE
Bangley ::: Charles W.	M	ENGLISH
Sakaluk ::: Scott K.	M	ENGLISH
Tian ::: Lining	-	CHINESE
Sumi ::: Takuto	M	JAPANESE
Colleoni ::: Francesca	F	ITALIAN
Li ::: Lixiang	-	CHINESE
Peaucelle ::: Alexis	M	FRENCH
Drew ::: Mark E.	M	ENGLISH
Wagner ::: Shlomo	M	GERMAN-ISRAELI
Carroll ::: Ian M.	M	ENGLISH
Yu ::: Min	-	CHINESE
Salánki ::: Katalin	F	HUNGARIAN
Thompson ::: Jesse	M	ENGLISH
Jin ::: Man-Wen	-	CHINESE
Li ::: Gui-Rong	M	CHINESE
Hufton ::: Simon E.	M	ENGLISH
Matsuo ::: Kiyoshi	M	JAPANESE
Wilson ::: Susan C.	F	ENGLISH
Goodman ::: Simon J.	M	ENGLISH
Damsgaard ::: Camilla T.	F	NORDIC
Pickar ::: David	M	ENGLISH
Li ::: Rong	-	CHINESE
Yu ::: Yang	-	CHINESE
Jones ::: Kerina H.	F	ENGLISH
Sopory ::: Sudhir K.	M	INDIAN
Acosta ::: Monica L.	F	HISPANIC
Soeters ::: Heidi M.	F	DUTCH
Samartzis ::: Dino	M	GREEK-ITALIAN
Hashizume ::: Hiroshi	M	JAPANESE
Day ::: Brian J.	M	ENGLISH
Basilico ::: Claudio	M	ITALIAN
Zhu ::: Kun Yan	M	CHINESE
Xu ::: Biao	M	CHINESE
Wang ::: Lian	-	CHINESE
Choi ::: Hyo Geun	-	KOREAN
Gallo ::: Mariana	F	HISPANIC
Sobol ::: Robert W.	M	ENGLISH
Love ::: J. Christopher	M	ENGLISH
Prokisch ::: Holger	M	GERMAN
de la Cruz ::: Fernando	M	HISPANIC
Moncalián ::: Gabriel	M	HISPANIC
Biswal ::: Akshaya Kumar	-	INDIAN
Naumann ::: Malik S.	M	FRENCH-GERMAN
Jin ::: Li	-	CHINESE
Aslani ::: Parisa	F	ARAB
Behringer ::: Richard R.	M	GERMAN-ENGLISH
Yuan ::: Bao	-	CHINESE
Ren ::: Wen-Zhi	M	CHINESE
Fraser ::: Mariecia D.	-	ENGLISH
Inskeep ::: William P.	M	ENGLISH
Rusch ::: Douglas B.	M	ENGLISH
Lymbery ::: Alan J.	M	ENGLISH
Bates ::: Gillian P.	F	ENGLISH
Matthes ::: Thomas	M	GERMAN
Lee ::: Sang H.	-	KOREAN
Shekhar ::: Meena	F	INDIAN
Smidt ::: Werner	M	GERMAN
Tao ::: Jianning	-	CHINESE
Overbeek ::: Paul A.	M	DUTCH
Bartel ::: Fabian	M	GERMAN
Proietti-De-Santis ::: Luca	M	ITALIAN
Regan ::: Tim	M	ENGLISH
Redegeld ::: Frank A.	M	GERMAN
Lage ::: Guilherme M.	M	HISPANIC
Bagust ::: Jeff	M	ENGLISH
Marianelli ::: Cinzia	F	ITALIAN
Bourjade ::: Marie	F	FRENCH
Sun ::: Qing-Yuan	M	CHINESE
Tsai ::: Ming-Tzu	-	CHINESE
Scharer ::: Rachel M.	F	FRENCH-GERMAN
Ainsworth ::: Cameron H.	M	ENGLISH
Mansur ::: Ashham	-	HISPANIC-ARAB
Trautmann ::: Alain	M	FRENCH
Bercovici ::: Nadège	F	FRENCH-SLAV
Fei ::: Juntao	-	CHINESE
Liao ::: Yunjun	M	CHINESE
Gao ::: Jianhua	F	CHINESE
Yu ::: Pei-Wu	-	CHINESE
Zeng ::: Dong-Zhu	-	CHINESE
Yoo ::: Soonmoon	-	KOREAN
Lohaus ::: Gertrud	F	GERMAN
Ulett ::: Glen C.	M	ENGLISH
Moser ::: Kath A.	F	ENGLISH
Wilhelm ::: Matthias	M	GERMAN
Brightsmith ::: Donald J.	M	ENGLISH
Forlim ::: Caroline Garcia	F	HISPANIC-NORDIC
Zaman ::: Gul	-	ARAB
Larsson ::: Markus	M	NORDIC
Duncan ::: W. Colin	M	ENGLISH
Layton ::: Robert Colby	M	ENGLISH
Knyazeva ::: Maria G.	F	SLAV-HISPANIC
Shi ::: Zhong-Dong	M	CHINESE
Tarbell ::: John M.	M	ENGLISH-DUTCH
Kim ::: Yang-Hyun	-	KOREAN
Mattson ::: Mark P.	M	ENGLISH
Lescroël ::: Amélie	F	FRENCH
Savage ::: Sharon A.	F	ENGLISH
Lobie ::: Peter E.	M	NORDIC
Zhu ::: Tao	-	CHINESE
Merker ::: Matthias	M	GERMAN
Jung ::: Kyoung Hwa	-	KOREAN
Chai ::: Young Gyu	-	KOREAN
Weary ::: Daniel M.	M	ENGLISH
Kim ::: Sang Kyum	-	KOREAN
van den Heuvel ::: Meta	F	DUTCH
Brandeis ::: Michael	M	GERMAN-ISRAELI
Varner ::: Jeffrey D.	M	ENGLISH
Salinas ::: Patricia C.	F	HISPANIC
Osório ::: Flávia L.	F	HISPANIC
Lobo ::: Cheryl A.	F	HISPANIC
Mirón-Canelo ::: José Antonio	M	HISPANIC
Cox ::: James J.	M	ENGLISH
Barr ::: John R.	M	ENGLISH
Edwardson ::: Charlotte	F	ENGLISH
Lefebvre ::: Annick	F	FRENCH
Loser ::: Karin	F	GERMAN
Jafarimoghaddam ::: Amin	M	ARAB
Costabile ::: Adele	F	ITALIAN
Li ::: Jinhua	-	CHINESE
Ysebaert ::: Dirk	M	FRENCH
Pilarski ::: Patrick M.	M	FRENCH
Brass ::: David M.	M	ENGLISH
